ORIGEN,VARIABLE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
LA QUIACA OBS.,TEMP.MAX,20.1,19.9,19.9,19.7,17.3,15.6,15.4,17.4,19.2,21.1,21.7,21.3
LA QUIACA OBS.,TEMP.MIN,7.4,7.0,6.3,2.8,-3.0,-6.2,-6.8,-4.2,-1.1,2.8,5.2,6.9
LA QUIACA OBS.,PRECIPITACIONES,97.5,68.4,55.9,8.2,1.0,0.5,0.0,1.4,3.5,16.0,27.3,71.9
ORÁN AERO,TEMP.MAX,32.3,31.1,29.4,26.0,23.2,21.2,22.0,25.6,28.3,31.5,32.0,32.6
ORÁN AERO,TEMP.MIN,21.5,20.8,20.5,17.8,14.2,11.0,9.2,11.0,13.5,17.9,19.5,21.2
ORÁN AERO,PRECIPITACIONES,216.6,183.7,184.2,70.9,19.8,6.3,4.5,5.4,16.3,60.0,108.1,170.1
TARTAGAL AERO,TEMP.MAX,31.7,30.7,29.1,25.5,22.7,21.0,22.1,25.5,28.2,31.4,31.7,32.0
TARTAGAL AERO,TEMP.MIN,20.6,20.0,19.6,17.0,13.2,10.7,9.1,10.6,13.2,17.5,18.8,20.3
TARTAGAL AERO,PRECIPITACIONES,200.2,182.8,187.7,65.3,22.0,6.7,3.6,5.1,15.1,45.0,110.0,176.4
JUJUY AERO,TEMP.MAX,30.0,28.8,27.2,24.0,21.3,19.7,20.3,23.3,25.7,29.0,29.9,30.5
JUJUY AERO,TEMP.MIN,18.3,17.5,17.1,14.0,10.0,6.8,5.8,8.2,10.6,14.8,16.7,18.0
JUJUY AERO,PRECIPITACIONES,153.2,152.9,138.9,49.4,11.6,2.8,3.4,3.1,5.4,28.1,61.1,130.4
SALTA AERO,TEMP.MAX,27.4,26.4,25.2,22.7,20.3,19.6,20.0,22.3,23.9,26.8,27.5,28.0
SALTA AERO,TEMP.MIN,16.6,15.7,15.3,11.9,7.6,4.1,2.9,4.9,7.3,11.8,14.1,15.9
SALTA AERO,PRECIPITACIONES,192.6,154.2,110.6,33.0,8.0,1.5,3.9,3.8,7.6,25.1,62.2,145.6
LAS LOMITAS,TEMP.MAX,35.1,33.8,32.8,28.8,25.4,23.4,24.1,27.1,29.1,32.2,33.2,34.4
LAS LOMITAS,TEMP.MIN,21.7,21.1,20.3,17.5,13.7,11.8,10.4,12.2,14.2,17.8,19.3,20.9
LAS LOMITAS,PRECIPITACIONES,142.4,116.7,160.4,84.6,57.5,18.6,13.1,16.1,30.4,72.5,119.0,132.6
IGUAZÚ AERO,TEMP.MAX,31.8,31.2,30.7,27.5,23.5,21.7,22.2,24.7,25.8,28.3,30.1,31.4
IGUAZÚ AERO,TEMP.MIN,20.5,20.2,19.3,16.8,13.1,11.7,10.8,12.2,13.7,16.5,17.8,19.5
IGUAZÚ AERO,PRECIPITACIONES,177.7,154.7,126.5,169.1,192.7,148.3,115.8,94.2,160.3,237.0,186.3,186.9
TUCUMÁN AERO,TEMP.MAX,31.0,29.7,27.9,24.6,21.2,18.6,19.3,22.8,25.4,28.9,29.9,30.8
TUCUMÁN AERO,TEMP.MIN,20.1,19.3,18.5,15.1,11.4,8.2,6.8,8.5,11.0,15.2,17.5,19.3
TUCUMÁN AERO,PRECIPITACIONES,230.6,172.3,151.1,62.5,25.9,13.1,7.4,8.5,16.1,65.1,103.0,175.9
SANTIAGO DEL ESTERO AERO,TEMP.MAX,33.9,32.5,30.4,26.3,23.1,20.1,20.9,24.4,26.9,30.7,32.2,33.7
SANTIAGO DEL ESTERO AERO,TEMP.MIN,20.5,19.7,18.5,14.6,10.4,6.8,5.0,7.3,10.3,15.3,17.8,20.0
SANTIAGO DEL ESTERO AERO,PRECIPITACIONES,134.8,100.6,91.1,35.9,17.2,6.6,3.0,2.0,12.3,44.7,66.7,114.2
RESISTENCIA AERO,TEMP.MAX,33.3,32.1,30.7,26.9,23.6,21.3,21.4,23.7,25.3,28.1,29.8,32.1
RESISTENCIA AERO,TEMP.MIN,20.9,20.5,19.5,16.5,12.6,10.8,9.5,10.8,12.4,15.9,17.7,19.7
RESISTENCIA AERO,PRECIPITACIONES,161.1,165.6,174.4,202.3,78.4,63.8,30.6,38.0,68.9,134.7,168.2,146.9
FORMOSA AERO,TEMP.MAX,33.8,32.8,31.9,28.1,24.4,22.4,22.3,24.8,26.3,29.0,30.7,32.8
FORMOSA AERO,TEMP.MIN,22.3,21.9,20.9,18.2,14.6,12.9,11.7,13.0,14.5,17.9,19.4,21.3
FORMOSA AERO,PRECIPITACIONES,165.7,128.7,144.8,175.0,99.3,68.9,47.5,44.2,90.8,142.0,166.5,163.4
CORRIENTES AERO,TEMP.MAX,33.2,31.9,30.6,26.8,23.4,21.0,21.1,23.4,24.9,27.9,29.5,31.9
CORRIENTES AERO,TEMP.MIN,21.3,20.8,19.7,16.9,13.4,11.6,10.4,11.5,13.1,16.3,17.9,20.1
CORRIENTES AERO,PRECIPITACIONES,167.3,161.9,175.1,206.6,91.9,70.5,37.5,47.2,75.7,150.7,184.3,157.7
POSADAS AERO,TEMP.MAX,33.0,32.1,31.2,27.6,23.9,21.9,21.9,24.2,25.1,28.3,30.3,32.4
POSADAS AERO,TEMP.MIN,21.8,21.3,20.2,17.4,14.0,12.3,11.6,13.1,14.3,17.1,18.6,20.7
POSADAS AERO,PRECIPITACIONES,167.2,154.9,144.1,193.8,138.2,139.8,103.3,93.9,145.1,226.0,181.0,179.9
TINOGASTA,TEMP.MAX,33.5,32.4,30.9,26.9,22.6,19.9,19.8,23.1,25.7,30.2,32.5,33.9
TINOGASTA,TEMP.MIN,18.7,17.3,16.0,10.1,4.5,0.8,0.2,2.5,5.9,11.2,15.1,17.9
TINOGASTA,PRECIPITACIONES,,,,,,,,,,,,
LA RIOJA AERO,TEMP.MAX,34.7,33.0,30.7,26.7,22.6,19.4,19.5,23.0,26.2,30.9,33.5,35.1
LA RIOJA AERO,TEMP.MIN,21.1,19.9,18.7,14.5,9.7,5.6,4.4,7.2,10.9,16.0,18.7,20.9
LA RIOJA AERO,PRECIPITACIONES,96.3,73.6,65.0,29.3,9.0,2.9,3.8,4.2,9.4,17.6,35.9,65.0
CATAMARCA AERO,TEMP.MAX,34.1,32.8,31.2,27.5,23.5,20.0,20.2,23.9,26.8,30.9,32.7,34.3
CATAMARCA AERO,TEMP.MIN,21.5,20.4,19.1,14.7,9.8,5.3,4.4,7.7,11.8,16.8,19.3,21.2
CATAMARCA AERO,PRECIPITACIONES,83.8,69.2,52.4,27.0,12.6,4.7,8.1,3.2,7.3,25.9,50.2,68.0
VILLA MARÍA DEL RÍO SECO,TEMP.MAX,31.4,29.8,28.1,24.3,21.3,18.7,18.7,21.6,23.6,27.1,29.1,30.9
VILLA MARÍA DEL RÍO SECO,TEMP.MIN,,,,,,,,,,,,
VILLA MARÍA DEL RÍO SECO,PRECIPITACIONES,130.6,119.7,134.5,70.4,21.3,8.4,12.5,6.7,27.1,62.6,89.0,130.2
CERES AERO,TEMP.MAX,32.1,30.9,29.3,25.0,21.9,18.8,18.8,21.7,23.7,27.0,29.0,31.0
CERES AERO,TEMP.MIN,19.2,18.5,17.3,14.0,10.3,7.5,6.2,7.6,9.5,13.4,15.8,17.9
